ENSMUST00000178537 ENSMUSG00000095668
ENSMUST00000025797 ENSMUSG00000024863
ENSMUST00000049778 ENSMUSG00000051034
ENSMUST00000024733 ENSMUSG00000023938
ENSMUST00000100219 ENSMUSG00000075419
ENSMUST00000134318 ENSMUSG00000060002
ENSMUST00000148899 ENSMUSG00000060002
ENSMUST00000020253 ENSMUSG00000060002
ENSMUST00000143108 ENSMUSG00000060002
ENSMUST00000139109 ENSMUSG00000060002
ENSMUST00000117440 ENSMUSG00000060002
ENSMUST00000126074 ENSMUSG00000060002
ENSMUST00000073783 ENSMUSG00000060002
ENSMUST00000117579 ENSMUSG00000060002
ENSMUST00000099141 ENSMUSG00000074629
ENSMUST00000032910 ENSMUSG00000030672
ENSMUST00000127710 ENSMUSG00000030672
ENSMUST00000143222 ENSMUSG00000030672
ENSMUST00000139613 ENSMUSG00000030672
ENSMUST00000027202 ENSMUSG00000026039
ENSMUST00000190746 ENSMUSG00000026039
ENSMUST00000001042 ENSMUSG00000001016
ENSMUST00000091996 ENSMUSG00000069430
ENSMUST00000069927 ENSMUSG00000056054
ENSMUST00000110324 ENSMUSG00000027386
ENSMUST00000028864 ENSMUSG00000027386
ENSMUST00000034811 ENSMUSG00000032274
ENSMUST00000013302 ENSMUSG00000013158
ENSMUST00000033917 ENSMUSG00000031518
ENSMUST00000038163 ENSMUSG00000041141
ENSMUST00000167912 ENSMUSG00000037664
ENSMUST00000037287 ENSMUSG00000037664
ENSMUST00000101165 ENSMUSG00000021044
ENSMUST00000166940 ENSMUSG00000021044
ENSMUST00000149823 ENSMUSG00000034593
ENSMUST00000123128 ENSMUSG00000034593
ENSMUST00000136871 ENSMUSG00000034593
ENSMUST00000155282 ENSMUSG00000034593
ENSMUST00000123531 ENSMUSG00000034593
ENSMUST00000136731 ENSMUSG00000034593
ENSMUST00000142181 ENSMUSG00000034593
ENSMUST00000136604 ENSMUSG00000034593
ENSMUST00000149032 ENSMUSG00000034593
ENSMUST00000129281 ENSMUSG00000034593
ENSMUST00000148144 ENSMUSG00000034593
ENSMUST00000130384 ENSMUSG00000034593
ENSMUST00000143355 ENSMUSG00000034593
ENSMUST00000153404 ENSMUSG00000034593
ENSMUST00000190551 ENSMUSG00000094647
ENSMUST00000179073 ENSMUSG00000094647
ENSMUST00000178641 ENSMUSG00000096736
ENSMUST00000063318 ENSMUSG00000020102
ENSMUST00000105257 ENSMUSG00000020102
ENSMUST00000078861 ENSMUSG00000062868
ENSMUST00000111917 ENSMUSG00000041471
ENSMUST00000052725 ENSMUSG00000032018
ENSMUST00000169609 ENSMUSG00000032018
ENSMUST00000026188 ENSMUSG00000025184
ENSMUST00000160107 ENSMUSG00000025184
ENSMUST00000160893 ENSMUSG00000025184
ENSMUST00000161422 ENSMUSG00000025184
ENSMUST00000162238 ENSMUSG00000025184
ENSMUST00000065797 ENSMUSG00000027221
ENSMUST00000148544 ENSMUSG00000053749
ENSMUST00000110230 ENSMUSG00000053749
ENSMUST00000100659 ENSMUSG00000053749
ENSMUST00000137301 ENSMUSG00000053749
ENSMUST00000060253 ENSMUSG00000043683
ENSMUST00000124973 ENSMUSG00000006005
ENSMUST00000119161 ENSMUSG00000006005
ENSMUST00000131701 ENSMUSG00000006005
ENSMUST00000141827 ENSMUSG00000006005
ENSMUST00000147769 ENSMUSG00000006005
ENSMUST00000132522 ENSMUSG00000006005
ENSMUST00000151563 ENSMUSG00000006005
ENSMUST00000150752 ENSMUSG00000006005
ENSMUST00000132257 ENSMUSG00000006005
ENSMUST00000152967 ENSMUSG00000006005
ENSMUST00000128417 ENSMUSG00000006005
ENSMUST00000124484 ENSMUSG00000006005
ENSMUST00000138718 ENSMUSG00000006005
ENSMUST00000130779 ENSMUSG00000006005
ENSMUST00000070163 ENSMUSG00000056197
ENSMUST00000067298 ENSMUSG00000054312
ENSMUST00000132515 ENSMUSG00000054312
ENSMUST00000142437 ENSMUSG00000054312
ENSMUST00000144214 ENSMUSG00000054312
ENSMUST00000072587 ENSMUSG00000054312
ENSMUST00000054220 ENSMUSG00000045128
ENSMUST00000074729 ENSMUSG00000034731
ENSMUST00000001304 ENSMUSG00000001270
ENSMUST00000074986 ENSMUSG00000059303
ENSMUST00000178595 ENSMUSG00000094904
ENSMUST00000048393 ENSMUSG00000037204
ENSMUST00000069600 ENSMUSG00000027634
ENSMUST00000072298 ENSMUSG00000027634
ENSMUST00000156491 ENSMUSG00000027634
ENSMUST00000149599 ENSMUSG00000027634
ENSMUST00000109558 ENSMUSG00000027634
ENSMUST00000140297 ENSMUSG00000027634
ENSMUST00000131955 ENSMUSG00000027634
ENSMUST00000156651 ENSMUSG00000027634
ENSMUST00000126627 ENSMUSG00000027634
ENSMUST00000132748 ENSMUSG00000027634
ENSMUST00000166810 ENSMUSG00000021906
ENSMUST00000171598 ENSMUSG00000021906
ENSMUST00000022462 ENSMUSG00000021906
ENSMUST00000165523 ENSMUSG00000021906
ENSMUST00000164868 ENSMUSG00000021906
ENSMUST00000170600 ENSMUSG00000021906
ENSMUST00000168986 ENSMUSG00000021906
ENSMUST00000169078 ENSMUSG00000021906
ENSMUST00000169649 ENSMUSG00000021906
ENSMUST00000170519 ENSMUSG00000021906
ENSMUST00000171849 ENSMUSG00000021906
ENSMUST00000164396 ENSMUSG00000021906
ENSMUST00000098359 ENSMUSG00000074059
ENSMUST00000030279 ENSMUSG00000028550
ENSMUST00000152121 ENSMUSG00000028550
ENSMUST00000180278 ENSMUSG00000028550
ENSMUST00000166328 ENSMUSG00000091272
ENSMUST00000081780 ENSMUSG00000058005
ENSMUST00000058639 ENSMUSG00000049882
ENSMUST00000089304 ENSMUSG00000068181
ENSMUST00000167263 ENSMUSG00000025497
ENSMUST00000080654 ENSMUSG00000025497
ENSMUST00000047173 ENSMUSG00000041124
ENSMUST00000000201 ENSMUSG00000000197
ENSMUST00000115807 ENSMUSG00000022683
ENSMUST00000023364 ENSMUSG00000022683
ENSMUST00000127780 ENSMUSG00000022683
ENSMUST00000156504 ENSMUSG00000022683
ENSMUST00000034594 ENSMUSG00000032089
ENSMUST00000176808 ENSMUSG00000032089
ENSMUST00000176222 ENSMUSG00000032089
ENSMUST00000163409 ENSMUSG00000028986
ENSMUST00000030841 ENSMUSG00000028986
ENSMUST00000103095 ENSMUSG00000017300
ENSMUST00000155443 ENSMUSG00000017300
ENSMUST00000106048 ENSMUSG00000025486
ENSMUST00000026559 ENSMUSG00000025486
ENSMUST00000137024 ENSMUSG00000025486
ENSMUST00000147331 ENSMUSG00000025486
ENSMUST00000137710 ENSMUSG00000025486
ENSMUST00000055868 ENSMUSG00000095706
ENSMUST00000044579 ENSMUSG00000033467
ENSMUST00000169433 ENSMUSG00000091648
ENSMUST00000010940 ENSMUSG00000010796
ENSMUST00000136626 ENSMUSG00000010796
ENSMUST00000146216 ENSMUSG00000010796
ENSMUST00000136194 ENSMUSG00000010796
ENSMUST00000131614 ENSMUSG00000010796
ENSMUST00000179399 ENSMUSG00000094613
ENSMUST00000001256 ENSMUSG00000001227
ENSMUST00000167545 ENSMUSG00000001227
ENSMUST00000171795 ENSMUSG00000024127
ENSMUST00000072406 ENSMUSG00000024127
ENSMUST00000163153 ENSMUSG00000032050
ENSMUST00000000590 ENSMUSG00000032050
ENSMUST00000061352 ENSMUSG00000032050
ENSMUST00000161170 ENSMUSG00000072623
ENSMUST00000032906 ENSMUSG00000030669
ENSMUST00000032907 ENSMUSG00000030669
ENSMUST00000043815 ENSMUSG00000038759
ENSMUST00000170234 ENSMUSG00000038759
ENSMUST00000098035 ENSMUSG00000094948
ENSMUST00000041782 ENSMUSG00000036376
ENSMUST00000110754 ENSMUSG00000079116
ENSMUST00000042662 ENSMUSG00000033186
ENSMUST00000106852 ENSMUSG00000078620
ENSMUST00000045068 ENSMUSG00000039714
ENSMUST00000165988 ENSMUSG00000094784
ENSMUST00000052718 ENSMUSG00000047959
ENSMUST00000030702 ENSMUSG00000028882
ENSMUST00000148228 ENSMUSG00000028882
ENSMUST00000131725 ENSMUSG00000028882
ENSMUST00000156777 ENSMUSG00000028882
ENSMUST00000105919 ENSMUSG00000028882
ENSMUST00000052499 ENSMUSG00000051518
ENSMUST00000097478 ENSMUSG00000095718
ENSMUST00000079042 ENSMUSG00000057551
ENSMUST00000040518 ENSMUSG00000033047
ENSMUST00000192538 ENSMUSG00000042165
ENSMUST00000047300 ENSMUSG00000042165
ENSMUST00000023952 ENSMUSG00000049382
ENSMUST00000066880 ENSMUSG00000054083
ENSMUST00000041973 ENSMUSG00000035785
ENSMUST00000023344 ENSMUSG00000022664
ENSMUST00000181177 ENSMUSG00000022664
ENSMUST00000152364 ENSMUSG00000022664
ENSMUST00000180636 ENSMUSG00000022664
ENSMUST00000114600 ENSMUSG00000022664
ENSMUST00000181437 ENSMUSG00000022664
ENSMUST00000181750 ENSMUSG00000022664
ENSMUST00000181377 ENSMUSG00000022664
ENSMUST00000082432 ENSMUSG00000007682
ENSMUST00000021595 ENSMUSG00000021178
ENSMUST00000080175 ENSMUSG00000030604
ENSMUST00000022108 ENSMUSG00000021613
ENSMUST00000088392 ENSMUSG00000062604
ENSMUST00000020375 ENSMUSG00000064181
ENSMUST00000027061 ENSMUSG00000025929
ENSMUST00000029766 ENSMUSG00000028121
ENSMUST00000178179 ENSMUSG00000094690
ENSMUST00000190652 ENSMUSG00000026380
ENSMUST00000027629 ENSMUSG00000026380
ENSMUST00000079755 ENSMUSG00000058174
ENSMUST00000108105 ENSMUSG00000058174
ENSMUST00000099128 ENSMUSG00000058174
ENSMUST00000134904 ENSMUSG00000058174
ENSMUST00000026367 ENSMUSG00000025323
ENSMUST00000011776 ENSMUSG00000011632
ENSMUST00000131437 ENSMUSG00000059482
ENSMUST00000156124 ENSMUSG00000059482
ENSMUST00000101504 ENSMUSG00000059482
ENSMUST00000142026 ENSMUSG00000059482
ENSMUST00000080517 ENSMUSG00000059482
ENSMUST00000145735 ENSMUSG00000087260
ENSMUST00000059428 ENSMUSG00000045790
ENSMUST00000164727 ENSMUSG00000039109
ENSMUST00000037491 ENSMUSG00000039109
ENSMUST00000037553 ENSMUSG00000034660
ENSMUST00000130076 ENSMUSG00000034660
ENSMUST00000180178 ENSMUSG00000095503
ENSMUST00000053499 ENSMUSG00000039342
ENSMUST00000055890 ENSMUSG00000051051
ENSMUST00000091736 ENSMUSG00000069296
ENSMUST00000169121 ENSMUSG00000024743
ENSMUST00000076968 ENSMUSG00000024743
ENSMUST00000073899 ENSMUSG00000024743
ENSMUST00000021494 ENSMUSG00000021086
ENSMUST00000030814 ENSMUSG00000028969
ENSMUST00000097818 ENSMUSG00000073735
ENSMUST00000089129 ENSMUSG00000068086
ENSMUST00000053956 ENSMUSG00000047995
ENSMUST00000100837 ENSMUSG00000021820
ENSMUST00000080440 ENSMUSG00000021820
ENSMUST00000071816 ENSMUSG00000021820
ENSMUST00000070039 ENSMUSG00000056121
ENSMUST00000112487 ENSMUSG00000056121
ENSMUST00000170101 ENSMUSG00000091388
ENSMUST00000080619 ENSMUSG00000063478
ENSMUST00000106291 ENSMUSG00000078578
ENSMUST00000166033 ENSMUSG00000078578
ENSMUST00000032517 ENSMUSG00000030363
ENSMUST00000030937 ENSMUSG00000029061
ENSMUST00000156906 ENSMUSG00000029061
ENSMUST00000130944 ENSMUSG00000029061
ENSMUST00000139242 ENSMUSG00000029061
ENSMUST00000140547 ENSMUSG00000026979
ENSMUST00000102942 ENSMUSG00000026979
ENSMUST00000056641 ENSMUSG00000026979
ENSMUST00000142522 ENSMUSG00000026979
ENSMUST00000133730 ENSMUSG00000026979
ENSMUST00000131930 ENSMUSG00000026979
ENSMUST00000127242 ENSMUSG00000026979
ENSMUST00000140303 ENSMUSG00000026979
ENSMUST00000132924 ENSMUSG00000026979
ENSMUST00000166388 ENSMUSG00000026979
ENSMUST00000034204 ENSMUSG00000031754
ENSMUST00000023329 ENSMUSG00000061100
ENSMUST00000178630 ENSMUSG00000094219
ENSMUST00000071182 ENSMUSG00000072813
ENSMUST00000080300 ENSMUSG00000009927
ENSMUST00000049545 ENSMUSG00000045318
ENSMUST00000173356 ENSMUSG00000042942
ENSMUST00000048977 ENSMUSG00000042942
ENSMUST00000172532 ENSMUSG00000042942
ENSMUST00000174553 ENSMUSG00000042942
ENSMUST00000172680 ENSMUSG00000042942
ENSMUST00000173261 ENSMUSG00000042942
ENSMUST00000152946 ENSMUSG00000025223
ENSMUST00000056931 ENSMUSG00000025223
ENSMUST00000026252 ENSMUSG00000025223
ENSMUST00000156585 ENSMUSG00000025223
ENSMUST00000137771 ENSMUSG00000025223
ENSMUST00000126320 ENSMUSG00000025223
ENSMUST00000136203 ENSMUSG00000025223
ENSMUST00000185355 ENSMUSG00000025223
ENSMUST00000075220 ENSMUSG00000059288
ENSMUST00000163595 ENSMUSG00000059288
ENSMUST00000126388 ENSMUSG00000040938
ENSMUST00000144494 ENSMUSG00000040938
ENSMUST00000123716 ENSMUSG00000040938
ENSMUST00000094055 ENSMUSG00000040938
ENSMUST00000126296 ENSMUSG00000040938
ENSMUST00000136328 ENSMUSG00000040938
ENSMUST00000153993 ENSMUSG00000040938
ENSMUST00000122852 ENSMUSG00000040938
ENSMUST00000131468 ENSMUSG00000040938
ENSMUST00000149880 ENSMUSG00000040938
ENSMUST00000171032 ENSMUSG00000040938
ENSMUST00000036715 ENSMUSG00000041505
ENSMUST00000077133 ENSMUSG00000041505
ENSMUST00000009617 ENSMUSG00000027895
ENSMUST00000106542 ENSMUSG00000034586
ENSMUST00000044152 ENSMUSG00000034586
ENSMUST00000145316 ENSMUSG00000034586
ENSMUST00000152977 ENSMUSG00000034586
ENSMUST00000146256 ENSMUSG00000034586
ENSMUST00000130073 ENSMUSG00000034586
ENSMUST00000153447 ENSMUSG00000034586
ENSMUST00000123428 ENSMUSG00000034586
ENSMUST00000033873 ENSMUSG00000031483
ENSMUST00000085222 ENSMUSG00000030523
ENSMUST00000153421 ENSMUSG00000030523
ENSMUST00000107525 ENSMUSG00000030523
ENSMUST00000107527 ENSMUSG00000030523
ENSMUST00000141574 ENSMUSG00000030523
ENSMUST00000146313 ENSMUSG00000030523
ENSMUST00000107516 ENSMUSG00000030523
ENSMUST00000107519 ENSMUSG00000030523
ENSMUST00000137650 ENSMUSG00000030523
ENSMUST00000032737 ENSMUSG00000030523
ENSMUST00000107515 ENSMUSG00000030523
ENSMUST00000144996 ENSMUSG00000030523
ENSMUST00000177295 ENSMUSG00000030523
ENSMUST00000176548 ENSMUSG00000030523
ENSMUST00000176392 ENSMUSG00000030523
ENSMUST00000140277 ENSMUSG00000030523
ENSMUST00000176623 ENSMUSG00000030523
ENSMUST00000138074 ENSMUSG00000030523
ENSMUST00000138609 ENSMUSG00000030523
ENSMUST00000124597 ENSMUSG00000030523
ENSMUST00000155787 ENSMUSG00000030523
ENSMUST00000177102 ENSMUSG00000030523
ENSMUST00000023611 ENSMUSG00000022894
ENSMUST00000179433 ENSMUSG00000037263
ENSMUST00000189124 ENSMUSG00000037263
ENSMUST00000025794 ENSMUSG00000037263
ENSMUST00000035058 ENSMUSG00000032482
ENSMUST00000020109 ENSMUSG00000019948
ENSMUST00000024725 ENSMUSG00000023931
ENSMUST00000060374 ENSMUSG00000043066
ENSMUST00000021428 ENSMUSG00000021039
ENSMUST00000037685 ENSMUSG00000036925
ENSMUST00000051097 ENSMUSG00000048752
ENSMUST00000168171 ENSMUSG00000073424
ENSMUST00000167789 ENSMUSG00000073424
ENSMUST00000163907 ENSMUSG00000073424
ENSMUST00000008801 ENSMUSG00000073424
ENSMUST00000070630 ENSMUSG00000056481
ENSMUST00000079035 ENSMUSG00000056926
ENSMUST00000075657 ENSMUSG00000063801
ENSMUST00000032315 ENSMUSG00000030194
ENSMUST00000049382 ENSMUSG00000042390
ENSMUST00000075613 ENSMUSG00000095138
ENSMUST00000008131 ENSMUSG00000007987
ENSMUST00000070334 ENSMUSG00000034793
ENSMUST00000078975 ENSMUSG00000034793
ENSMUST00000131382 ENSMUSG00000034793
ENSMUST00000139995 ENSMUSG00000034793
ENSMUST00000124594 ENSMUSG00000034793
ENSMUST00000145490 ENSMUSG00000034793
ENSMUST00000153178 ENSMUSG00000034793
ENSMUST00000084640 ENSMUSG00000062017
ENSMUST00000130646 ENSMUSG00000062017
ENSMUST00000134268 ENSMUSG00000062017
ENSMUST00000143257 ENSMUSG00000062017
ENSMUST00000075474 ENSMUSG00000096822
ENSMUST00000045909 ENSMUSG00000041995
ENSMUST00000029257 ENSMUSG00000037400
ENSMUST00000042194 ENSMUSG00000038260
ENSMUST00000062314 ENSMUSG00000047868
ENSMUST00000041053 ENSMUSG00000036880
ENSMUST00000180726 ENSMUSG00000097327
ENSMUST00000181677 ENSMUSG00000097327
ENSMUST00000181614 ENSMUSG00000097327
ENSMUST00000180697 ENSMUSG00000097327
ENSMUST00000069372 ENSMUSG00000097327
ENSMUST00000179054 ENSMUSG00000097327
ENSMUST00000102718 ENSMUSG00000034848
ENSMUST00000125446 ENSMUSG00000034848
ENSMUST00000169968 ENSMUSG00000034848
ENSMUST00000131503 ENSMUSG00000034848
ENSMUST00000055847 ENSMUSG00000045340
ENSMUST00000080718 ENSMUSG00000057454
ENSMUST00000019906 ENSMUSG00000019772
ENSMUST00000100705 ENSMUSG00000018648
ENSMUST00000018792 ENSMUSG00000018648
ENSMUST00000108101 ENSMUSG00000018648
ENSMUST00000138208 ENSMUSG00000018648
ENSMUST00000164891 ENSMUSG00000018648
ENSMUST00000012587 ENSMUSG00000012443
ENSMUST00000008094 ENSMUSG00000007950
ENSMUST00000026126 ENSMUSG00000025133
ENSMUST00000055156 ENSMUSG00000047014
ENSMUST00000163599 ENSMUSG00000091584
ENSMUST00000048134 ENSMUSG00000036834
ENSMUST00000159374 ENSMUSG00000036834
ENSMUST00000159982 ENSMUSG00000036834
ENSMUST00000084105 ENSMUSG00000036834
ENSMUST00000162269 ENSMUSG00000036834
ENSMUST00000159676 ENSMUSG00000036834
ENSMUST00000059973 ENSMUSG00000036834
ENSMUST00000177143 ENSMUSG00000036834
ENSMUST00000176861 ENSMUSG00000036834
ENSMUST00000175947 ENSMUSG00000036834
ENSMUST00000159188 ENSMUSG00000036834
ENSMUST00000161052 ENSMUSG00000036834
ENSMUST00000160638 ENSMUSG00000036834
ENSMUST00000062784 ENSMUSG00000046031
ENSMUST00000087773 ENSMUSG00000094755
ENSMUST00000079077 ENSMUSG00000050270
ENSMUST00000061786 ENSMUSG00000050270
ENSMUST00000051079 ENSMUSG00000048982
ENSMUST00000022890 ENSMUSG00000022280
ENSMUST00000067284 ENSMUSG00000054309
ENSMUST00000039610 ENSMUSG00000035769
ENSMUST00000022678 ENSMUSG00000022085
ENSMUST00000066875 ENSMUSG00000054069
ENSMUST00000078508 ENSMUSG00000060284
ENSMUST00000093983 ENSMUSG00000070354
ENSMUST00000170422 ENSMUSG00000070354
ENSMUST00000075062 ENSMUSG00000064109
ENSMUST00000031680 ENSMUSG00000029670
ENSMUST00000144534 ENSMUSG00000029670
ENSMUST00000136200 ENSMUSG00000029670
ENSMUST00000115389 ENSMUSG00000029670
ENSMUST00000151473 ENSMUSG00000029670
ENSMUST00000152877 ENSMUSG00000029670
ENSMUST00000146684 ENSMUSG00000029670
ENSMUST00000149728 ENSMUSG00000029670
ENSMUST00000136161 ENSMUSG00000029670
ENSMUST00000141689 ENSMUSG00000029670
ENSMUST00000028814 ENSMUSG00000027339
ENSMUST00000103182 ENSMUSG00000027339
ENSMUST00000155829 ENSMUSG00000027339
ENSMUST00000139047 ENSMUSG00000027339
ENSMUST00000140791 ENSMUSG00000027339
ENSMUST00000004051 ENSMUSG00000003949
ENSMUST00000043658 ENSMUSG00000003949
ENSMUST00000107881 ENSMUSG00000003949
ENSMUST00000137957 ENSMUSG00000003949
ENSMUST00000176001 ENSMUSG00000003949
ENSMUST00000145786 ENSMUSG00000003949
ENSMUST00000178161 ENSMUSG00000096144
ENSMUST00000102665 ENSMUSG00000076439
ENSMUST00000167275 ENSMUSG00000076439
ENSMUST00000093853 ENSMUSG00000044229
ENSMUST00000032963 ENSMUSG00000030718
ENSMUST00000187148 ENSMUSG00000000103
ENSMUST00000115891 ENSMUSG00000000103
ENSMUST00000138859 ENSMUSG00000027363
ENSMUST00000028841 ENSMUSG00000027363
ENSMUST00000110416 ENSMUSG00000027363
ENSMUST00000040077 ENSMUSG00000033020
ENSMUST00000032374 ENSMUSG00000030247
ENSMUST00000031984 ENSMUSG00000029920
ENSMUST00000062574 ENSMUSG00000050357
ENSMUST00000025394 ENSMUSG00000024516
ENSMUST00000126432 ENSMUSG00000024516
ENSMUST00000153193 ENSMUSG00000024516
ENSMUST00000139538 ENSMUSG00000024516
ENSMUST00000155668 ENSMUSG00000024516
ENSMUST00000125552 ENSMUSG00000024516
ENSMUST00000126651 ENSMUSG00000024516
ENSMUST00000038580 ENSMUSG00000016206
ENSMUST00000028223 ENSMUSG00000026866
ENSMUST00000112826 ENSMUSG00000026866
ENSMUST00000050511 ENSMUSG00000026866
ENSMUST00000138540 ENSMUSG00000026866
ENSMUST00000130968 ENSMUSG00000026866
ENSMUST00000148855 ENSMUSG00000026866
ENSMUST00000051714 ENSMUSG00000045587
ENSMUST00000084512 ENSMUSG00000065954
ENSMUST00000084030 ENSMUSG00000065954
ENSMUST00000028609 ENSMUSG00000027186
ENSMUST00000137973 ENSMUSG00000027186
ENSMUST00000123793 ENSMUSG00000027186
ENSMUST00000126290 ENSMUSG00000027186
ENSMUST00000152055 ENSMUSG00000027186
ENSMUST00000171693 ENSMUSG00000027186
ENSMUST00000164172 ENSMUSG00000027186
ENSMUST00000109941 ENSMUSG00000079010
ENSMUST00000035075 ENSMUSG00000032494
ENSMUST00000106098 ENSMUSG00000025477
ENSMUST00000026550 ENSMUSG00000025477
ENSMUST00000097975 ENSMUSG00000025477
ENSMUST00000138183 ENSMUSG00000025477
ENSMUST00000131781 ENSMUSG00000025477
ENSMUST00000152475 ENSMUSG00000025477
ENSMUST00000030284 ENSMUSG00000028557
ENSMUST00000064167 ENSMUSG00000028557
ENSMUST00000145980 ENSMUSG00000028557
ENSMUST00000067102 ENSMUSG00000054215
ENSMUST00000067539 ENSMUSG00000062528
ENSMUST00000098155 ENSMUSG00000073909
ENSMUST00000023590 ENSMUSG00000022877
ENSMUST00000091892 ENSMUSG00000069372
ENSMUST00000022614 ENSMUSG00000022035
ENSMUST00000164465 ENSMUSG00000049612
ENSMUST00000037820 ENSMUSG00000038422
ENSMUST00000140038 ENSMUSG00000038422
ENSMUST00000052691 ENSMUSG00000050088
ENSMUST00000164837 ENSMUSG00000050088
ENSMUST00000174004 ENSMUSG00000050088
ENSMUST00000174163 ENSMUSG00000050088
ENSMUST00000034215 ENSMUSG00000031765
ENSMUST00000002008 ENSMUSG00000001943
ENSMUST00000183219 ENSMUSG00000050100
ENSMUST00000051997 ENSMUSG00000050100
ENSMUST00000064433 ENSMUSG00000032186
ENSMUST00000098552 ENSMUSG00000032186
ENSMUST00000164100 ENSMUSG00000032186
ENSMUST00000085814 ENSMUSG00000020647
ENSMUST00000165963 ENSMUSG00000069911
ENSMUST00000093192 ENSMUSG00000069911
ENSMUST00000095762 ENSMUSG00000019787
ENSMUST00000169273 ENSMUSG00000054008
ENSMUST00000179573 ENSMUSG00000096094
ENSMUST00000180101 ENSMUSG00000096094
ENSMUST00000191271 ENSMUSG00000096094
ENSMUST00000179140 ENSMUSG00000094337
ENSMUST00000164489 ENSMUSG00000094337
ENSMUST00000128452 ENSMUSG00000006019
ENSMUST00000121123 ENSMUSG00000006019
ENSMUST00000118795 ENSMUSG00000006019
ENSMUST00000119102 ENSMUSG00000006019
ENSMUST00000133518 ENSMUSG00000006019
ENSMUST00000163968 ENSMUSG00000006019
ENSMUST00000094816 ENSMUSG00000006019
ENSMUST00000002445 ENSMUSG00000002372
ENSMUST00000110596 ENSMUSG00000079091
ENSMUST00000101250 ENSMUSG00000020359
ENSMUST00000167797 ENSMUSG00000020359
ENSMUST00000020625 ENSMUSG00000020359
ENSMUST00000156128 ENSMUSG00000020359
ENSMUST00000164864 ENSMUSG00000020359
ENSMUST00000109105 ENSMUSG00000020359
ENSMUST00000169823 ENSMUSG00000020359
ENSMUST00000169995 ENSMUSG00000020359
ENSMUST00000072940 ENSMUSG00000061969
ENSMUST00000176756 ENSMUSG00000018581
ENSMUST00000084806 ENSMUSG00000018581
ENSMUST00000175662 ENSMUSG00000018581
ENSMUST00000176239 ENSMUSG00000018581
ENSMUST00000023803 ENSMUSG00000023043
ENSMUST00000033827 ENSMUSG00000031450
ENSMUST00000068025 ENSMUSG00000054792
ENSMUST00000095925 ENSMUSG00000068417
ENSMUST00000025761 ENSMUSG00000024842
ENSMUST00000044484 ENSMUSG00000037369
ENSMUST00000052368 ENSMUSG00000037369
ENSMUST00000130978 ENSMUSG00000037369
ENSMUST00000155161 ENSMUSG00000037369
ENSMUST00000081848 ENSMUSG00000059743
ENSMUST00000137404 ENSMUSG00000027977
ENSMUST00000154668 ENSMUSG00000027977
ENSMUST00000124803 ENSMUSG00000027977
ENSMUST00000132112 ENSMUSG00000027977
ENSMUST00000172537 ENSMUSG00000027977
ENSMUST00000132896 ENSMUSG00000027977
ENSMUST00000029602 ENSMUSG00000027977
ENSMUST00000044286 ENSMUSG00000039199
ENSMUST00000160918 ENSMUSG00000054474
ENSMUST00000074241 ENSMUSG00000054474
ENSMUST00000170753 ENSMUSG00000054474
ENSMUST00000170455 ENSMUSG00000054474
ENSMUST00000114410 ENSMUSG00000054770
ENSMUST00000161608 ENSMUSG00000054770
ENSMUST00000163061 ENSMUSG00000054770
ENSMUST00000159826 ENSMUSG00000054770
ENSMUST00000160614 ENSMUSG00000054770
ENSMUST00000163006 ENSMUSG00000054770
ENSMUST00000068000 ENSMUSG00000054770
ENSMUST00000189298 ENSMUSG00000054770
ENSMUST00000162410 ENSMUSG00000054770
ENSMUST00000160130 ENSMUSG00000054770
ENSMUST00000164963 ENSMUSG00000054770
ENSMUST00000099362 ENSMUSG00000074796
ENSMUST00000134647 ENSMUSG00000074796
ENSMUST00000144945 ENSMUSG00000074796
ENSMUST00000138028 ENSMUSG00000074796
ENSMUST00000127397 ENSMUSG00000074796
ENSMUST00000093837 ENSMUSG00000070298
ENSMUST00000022650 ENSMUSG00000022064
ENSMUST00000165838 ENSMUSG00000002274
ENSMUST00000002344 ENSMUSG00000002274
ENSMUST00000131252 ENSMUSG00000024949
ENSMUST00000113489 ENSMUSG00000024949
ENSMUST00000113488 ENSMUSG00000024949
ENSMUST00000131083 ENSMUSG00000024949
ENSMUST00000113487 ENSMUSG00000024949
ENSMUST00000113485 ENSMUSG00000024949
ENSMUST00000146298 ENSMUSG00000024949
ENSMUST00000144409 ENSMUSG00000024949
ENSMUST00000155973 ENSMUSG00000024949
ENSMUST00000154260 ENSMUSG00000024949
ENSMUST00000144239 ENSMUSG00000024949
ENSMUST00000131677 ENSMUSG00000024949
ENSMUST00000125516 ENSMUSG00000024949
ENSMUST00000124667 ENSMUSG00000024949
ENSMUST00000162237 ENSMUSG00000024949
ENSMUST00000088248 ENSMUSG00000001403
ENSMUST00000001439 ENSMUSG00000001403
ENSMUST00000120452 ENSMUSG00000032285
ENSMUST00000154690 ENSMUSG00000032285
ENSMUST00000070070 ENSMUSG00000032285
ENSMUST00000034554 ENSMUSG00000032053
ENSMUST00000019012 ENSMUSG00000018868
ENSMUST00000099172 ENSMUSG00000074657
ENSMUST00000008605 ENSMUSG00000008461
ENSMUST00000044624 ENSMUSG00000036760
ENSMUST00000142761 ENSMUSG00000001642
ENSMUST00000102980 ENSMUSG00000001642
ENSMUST00000136559 ENSMUSG00000001642
ENSMUST00000126991 ENSMUSG00000001642
